ocorrencia_tipo,fator_nome,qtd_ocorrencias_com_fator,total_ocorrencias_do_tipo,ocorrencias_do_tipo_com_fator_registrado,perc_sobre_total_do_tipo,perc_sobre_ocorrencias_com_fator
COLISÃO COM AVE,INFLUÊNCIA DO MEIO AMBIENTE,4,2412,11,0.166,36.364
COLISÃO COM AVE,PRESENÇA DE AVE,4,2412,11,0.166,36.364
COLISÃO COM AVE,JULGAMENTO DE PILOTAGEM,3,2412,11,0.124,27.273
COLISÃO COM AVE,PROCESSO DECISÓRIO,3,2412,11,0.124,27.273
COLISÃO COM AVE,APLICAÇÃO DE COMANDOS,2,2412,11,0.083,18.182
COLISÃO COM AVE,INFRAESTRUTURA AEROPORTUÁRIA,2,2412,11,0.083,18.182
COLISÃO COM AVE,OUTRO FATOR,2,2412,11,0.083,18.182
COLISÃO COM AVE,PLANEJAMENTO DE VOO,2,2412,11,0.083,18.182
COLISÃO COM AVE,ATITUDE,1,2412,11,0.041,9.091
COLISÃO COM AVE,CAPACITAÇÃO E TREINAMENTO,1,2412,11,0.041,9.091
COLISÃO COM AVE,COMUNICAÇÃO,1,2412,11,0.041,9.091
COLISÃO COM AVE,INDISCIPLINA DE VOO,1,2412,11,0.041,9.091
COLISÃO COM AVE,PRESENÇA DE FAUNA (NÃO AVE),1,2412,11,0.041,9.091
COLISÃO COM AVE,SISTEMAS DE APOIO,1,2412,11,0.041,9.091
ESTOURO DE PNEU,INFRAESTRUTURA AEROPORTUÁRIA,6,902,19,0.665,31.579
ESTOURO DE PNEU,MANUTENÇÃO DA AERONAVE,6,902,19,0.665,31.579
ESTOURO DE PNEU,APLICAÇÃO DE COMANDOS,5,902,19,0.554,26.316
ESTOURO DE PNEU,JULGAMENTO DE PILOTAGEM,5,902,19,0.554,26.316
ESTOURO DE PNEU,ATITUDE,4,902,19,0.443,21.053
ESTOURO DE PNEU,COORDENAÇÃO DE CABINE,4,902,19,0.443,21.053
ESTOURO DE PNEU,PROCESSO DECISÓRIO,3,902,19,0.333,15.789
ESTOURO DE PNEU,ESQUECIMENTO DO PILOTO,2,902,19,0.222,10.526
ESTOURO DE PNEU,INSTRUÇÃO,2,902,19,0.222,10.526
ESTOURO DE PNEU,MEMÓRIA,2,902,19,0.222,10.526
ESTOURO DE PNEU,PLANEJAMENTO DE VOO,2,902,19,0.222,10.526
ESTOURO DE PNEU,SUPERVISÃO GERENCIAL,2,902,19,0.222,10.526
ESTOURO DE PNEU,CAPACITAÇÃO E TREINAMENTO,1,902,19,0.111,5.263
ESTOURO DE PNEU,COMUNICAÇÃO,1,902,19,0.111,5.263
ESTOURO DE PNEU,MOTIVAÇÃO,1,902,19,0.111,5.263
ESTOURO DE PNEU,OUTRO FATOR,1,902,19,0.111,5.263
ESTOURO DE PNEU,PLANEJAMENTO GERENCIAL,1,902,19,0.111,5.263
ESTOURO DE PNEU,POUCA EXPERIÊNCIA DO PILOTO,1,902,19,0.111,5.263
ESTOURO DE PNEU,PROJETO,1,902,19,0.111,5.263
ESTOURO DE PNEU,SISTEMAS DE APOIO,1,902,19,0.111,5.263
FALHA DO MOTOR EM VOO,MANUTENÇÃO DA AERONAVE,256,1134,413,22.575,61.985
FALHA DO MOTOR EM VOO,JULGAMENTO DE PILOTAGEM,146,1134,413,12.875,35.351
FALHA DO MOTOR EM VOO,SUPERVISÃO GERENCIAL,139,1134,413,12.257,33.656
FALHA DO MOTOR EM VOO,APLICAÇÃO DE COMANDOS,85,1134,413,7.496,20.581
FALHA DO MOTOR EM VOO,ATITUDE,70,1134,413,6.173,16.949
FALHA DO MOTOR EM VOO,PROCESSO DECISÓRIO,53,1134,413,4.674,12.833
FALHA DO MOTOR EM VOO,OUTRO FATOR,50,1134,413,4.409,12.107
FALHA DO MOTOR EM VOO,PLANEJAMENTO DE VOO,46,1134,413,4.056,11.138
FALHA DO MOTOR EM VOO,INDISCIPLINA DE VOO,35,1134,413,3.086,8.475
FALHA DO MOTOR EM VOO,POUCA EXPERIÊNCIA DO PILOTO,34,1134,413,2.998,8.232
FALHA DO MOTOR EM VOO,INSTRUÇÃO,31,1134,413,2.734,7.506
FALHA DO MOTOR EM VOO,PROCESSOS ORGANIZACIONAIS,31,1134,413,2.734,7.506
FALHA DO MOTOR EM VOO,CULTURA ORGANIZACIONAL,22,1134,413,1.940,5.327
FALHA DO MOTOR EM VOO,CAPACITAÇÃO E TREINAMENTO,20,1134,413,1.764,4.843
FALHA DO MOTOR EM VOO,CONDIÇÕES METEOROLÓGICAS ADVERSAS,18,1134,413,1.587,4.358
FALHA DO MOTOR EM VOO,COORDENAÇÃO DE CABINE,18,1134,413,1.587,4.358
FALHA DO MOTOR EM VOO,ESQUECIMENTO DO PILOTO,18,1134,413,1.587,4.358
FALHA DO MOTOR EM VOO,SISTEMAS DE APOIO,17,1134,413,1.499,4.116
FALHA DO MOTOR EM VOO,PLANEJAMENTO GERENCIAL,16,1134,413,1.411,3.874
FALHA DO MOTOR EM VOO,CULTURA DO GRUPO DE TRABALHO,15,1134,413,1.323,3.632
FALHA DO MOTOR EM VOO,FABRICAÇÃO,15,1134,413,1.323,3.632
FALHA DO MOTOR EM VOO,MEMÓRIA,15,1134,413,1.323,3.632
FALHA DO MOTOR EM VOO,PROJETO,15,1134,413,1.323,3.632
FALHA DO MOTOR EM VOO,ATENÇÃO,14,1134,413,1.235,3.390
FALHA DO MOTOR EM VOO,PERCEPÇÃO,12,1134,413,1.058,2.906
FALHA DO MOTOR EM VOO,PESSOAL DE APOIO,10,1134,413,0.882,2.421
FALHA DO MOTOR EM VOO,MOTIVAÇÃO,9,1134,413,0.794,2.179
FALHA DO MOTOR EM VOO,DINÂMICA DE EQUIPE,8,1134,413,0.705,1.937
FALHA DO MOTOR EM VOO,INFRAESTRUTURA AEROPORTUÁRIA,7,1134,413,0.617,1.695
FALHA DO MOTOR EM VOO,MANUSEIO DO MATERIAL,7,1134,413,0.617,1.695
FALHA DO MOTOR EM VOO,ESTADO EMOCIONAL,6,1134,413,0.529,1.453
FALHA DO MOTOR EM VOO,ORGANIZAÇÃO DO TRABALHO,6,1134,413,0.529,1.453
FALHA DO MOTOR EM VOO,RELAÇÕES INTERPESSOAIS,5,1134,413,0.441,1.211
FALHA DO MOTOR EM VOO,COMUNICAÇÃO,4,1134,413,0.353,0.969
FALHA DO MOTOR EM VOO,CARACTERÍSTICAS DA TAREFA,3,1134,413,0.265,0.726
FALHA DO MOTOR EM VOO,INDÍCIOS DE ESTRESSE,3,1134,413,0.265,0.726
FALHA DO MOTOR EM VOO,INFLUÊNCIA DO MEIO AMBIENTE,3,1134,413,0.265,0.726
FALHA DO MOTOR EM VOO,EQUIPAMENTO - CARACTERÍSTICAS ERGONÔMICAS,2,1134,413,0.176,0.484
FALHA DO MOTOR EM VOO,ANSIEDADE,1,1134,413,0.088,0.242
FALHA DO MOTOR EM VOO,CONDIÇÕES FÍSICAS DO TRABALHO,1,1134,413,0.088,0.242
FALHA DO MOTOR EM VOO,EQUIPAMENTO DE APOIO (ATS),1,1134,413,0.088,0.242
FALHA DO MOTOR EM VOO,FADIGA,1,1134,413,0.088,0.242
FALHA DO MOTOR EM VOO,LIDERANÇA,1,1134,413,0.088,0.242
FALHA DO MOTOR EM VOO,USO ILÍCITO DE DROGAS,1,1134,413,0.088,0.242
FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,MANUTENÇÃO DA AERONAVE,40,3144,60,1.272,66.667
FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SUPERVISÃO GERENCIAL,30,3144,60,0.954,50.000
FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,JULGAMENTO DE PILOTAGEM,21,3144,60,0.668,35.000
FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,APLICAÇÃO DE COMANDOS,13,3144,60,0.413,21.667
FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,PROCESSO DECISÓRIO,12,3144,60,0.382,20.000
FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,ATITUDE,10,3144,60,0.318,16.667
FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,CAPACITAÇÃO E TREINAMENTO,10,3144,60,0.318,16.667
FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,INSTRUÇÃO,8,3144,60,0.254,13.333
FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,CULTURA ORGANIZACIONAL,7,3144,60,0.223,11.667
FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,OUTRO FATOR,6,3144,60,0.191,10.000
FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,COORDENAÇÃO DE CABINE,5,3144,60,0.159,8.333
FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,PLANEJAMENTO GERENCIAL,5,3144,60,0.159,8.333
FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,POUCA EXPERIÊNCIA DO PILOTO,5,3144,60,0.159,8.333
FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,INDÍCIOS DE ESTRESSE,4,3144,60,0.127,6.667
FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,INFRAESTRUTURA AEROPORTUÁRIA,4,3144,60,0.127,6.667
FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,ORGANIZAÇÃO DO TRABALHO,4,3144,60,0.127,6.667
FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,COMUNICAÇÃO,3,3144,60,0.095,5.000
FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,CONDIÇÕES METEOROLÓGICAS ADVERSAS,3,3144,60,0.095,5.000
FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,CULTURA DO GRUPO DE TRABALHO,3,3144,60,0.095,5.000
FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FABRICAÇÃO,3,3144,60,0.095,5.000
FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,INDISCIPLINA DE VOO,3,3144,60,0.095,5.000
FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,MOTIVAÇÃO,3,3144,60,0.095,5.000
FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,PERCEPÇÃO,3,3144,60,0.095,5.000
FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,PLANEJAMENTO DE VOO,3,3144,60,0.095,5.000
FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,PROCESSOS ORGANIZACIONAIS,3,3144,60,0.095,5.000
FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,PROJETO,3,3144,60,0.095,5.000
FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SISTEMAS DE APOIO,3,3144,60,0.095,5.000
FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,ATENÇÃO,2,3144,60,0.064,3.333
FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,DINÂMICA DE EQUIPE,2,3144,60,0.064,3.333
FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,ESTADO EMOCIONAL,2,3144,60,0.064,3.333
FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,CLIMA ORGANIZACIONAL,1,3144,60,0.032,1.667
FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,CONHECIMENTO DE NORMAS (ATS),1,3144,60,0.032,1.667
FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,DESORIENTAÇÃO,1,3144,60,0.032,1.667
FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,EQUIPAMENTO - CARACTERÍSTICAS ERGONÔMICAS,1,3144,60,0.032,1.667
FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FADIGA,1,3144,60,0.032,1.667
FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,INFLUÊNCIA DO MEIO AMBIENTE,1,3144,60,0.032,1.667
FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,MANUSEIO DO MATERIAL,1,3144,60,0.032,1.667
FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,MEMÓRIA,1,3144,60,0.032,1.667
FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,PESSOAL DE APOIO,1,3144,60,0.032,1.667
FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,RELAÇÕES INTERPESSOAIS,1,3144,60,0.032,1.667
FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,USO DE MEDICAMENTO,1,3144,60,0.032,1.667
PERDA DE CONTROLE NO SOLO,APLICAÇÃO DE COMANDOS,199,754,290,26.393,68.621
PERDA DE CONTROLE NO SOLO,JULGAMENTO DE PILOTAGEM,176,754,290,23.342,60.690
PERDA DE CONTROLE NO SOLO,POUCA EXPERIÊNCIA DO PILOTO,101,754,290,13.395,34.828
PERDA DE CONTROLE NO SOLO,SUPERVISÃO GERENCIAL,81,754,290,10.743,27.931
PERDA DE CONTROLE NO SOLO,PLANEJAMENTO DE VOO,69,754,290,9.151,23.793
PERDA DE CONTROLE NO SOLO,INSTRUÇÃO,51,754,290,6.764,17.586
PERDA DE CONTROLE NO SOLO,PROCESSO DECISÓRIO,46,754,290,6.101,15.862
PERDA DE CONTROLE NO SOLO,ATITUDE,45,754,290,5.968,15.517
PERDA DE CONTROLE NO SOLO,COORDENAÇÃO DE CABINE,37,754,290,4.907,12.759
PERDA DE CONTROLE NO SOLO,CONDIÇÕES METEOROLÓGICAS ADVERSAS,34,754,290,4.509,11.724
PERDA DE CONTROLE NO SOLO,INFRAESTRUTURA AEROPORTUÁRIA,34,754,290,4.509,11.724
PERDA DE CONTROLE NO SOLO,PERCEPÇÃO,32,754,290,4.244,11.034
PERDA DE CONTROLE NO SOLO,INDISCIPLINA DE VOO,23,754,290,3.050,7.931
PERDA DE CONTROLE NO SOLO,MANUTENÇÃO DA AERONAVE,22,754,290,2.918,7.586
PERDA DE CONTROLE NO SOLO,CAPACITAÇÃO E TREINAMENTO,21,754,290,2.785,7.241
PERDA DE CONTROLE NO SOLO,PROCESSOS ORGANIZACIONAIS,21,754,290,2.785,7.241
PERDA DE CONTROLE NO SOLO,CULTURA ORGANIZACIONAL,14,754,290,1.857,4.828
PERDA DE CONTROLE NO SOLO,SISTEMAS DE APOIO,14,754,290,1.857,4.828
PERDA DE CONTROLE NO SOLO,OUTRO FATOR,13,754,290,1.724,4.483
PERDA DE CONTROLE NO SOLO,PLANEJAMENTO GERENCIAL,13,754,290,1.724,4.483
PERDA DE CONTROLE NO SOLO,ATENÇÃO,11,754,290,1.459,3.793
PERDA DE CONTROLE NO SOLO,COMUNICAÇÃO,10,754,290,1.326,3.448
PERDA DE CONTROLE NO SOLO,ESQUECIMENTO DO PILOTO,8,754,290,1.061,2.759
PERDA DE CONTROLE NO SOLO,MOTIVAÇÃO,7,754,290,0.928,2.414
PERDA DE CONTROLE NO SOLO,DINÂMICA DE EQUIPE,6,754,290,0.796,2.069
PERDA DE CONTROLE NO SOLO,INFLUÊNCIA DO MEIO AMBIENTE,5,754,290,0.663,1.724
PERDA DE CONTROLE NO SOLO,ORGANIZAÇÃO DO TRABALHO,5,754,290,0.663,1.724
PERDA DE CONTROLE NO SOLO,PROJETO,5,754,290,0.663,1.724
PERDA DE CONTROLE NO SOLO,CULTURA DO GRUPO DE TRABALHO,4,754,290,0.531,1.379
PERDA DE CONTROLE NO SOLO,ESTADO EMOCIONAL,4,754,290,0.531,1.379
PERDA DE CONTROLE NO SOLO,MEMÓRIA,4,754,290,0.531,1.379
PERDA DE CONTROLE NO SOLO,CONDIÇÕES FÍSICAS DO TRABALHO,3,754,290,0.398,1.034
PERDA DE CONTROLE NO SOLO,INDÍCIOS DE ESTRESSE,3,754,290,0.398,1.034
PERDA DE CONTROLE NO SOLO,CLIMA ORGANIZACIONAL,2,754,290,0.265,0.690
PERDA DE CONTROLE NO SOLO,FADIGA,2,754,290,0.265,0.690
PERDA DE CONTROLE NO SOLO,RELAÇÕES INTERPESSOAIS,2,754,290,0.265,0.690
PERDA DE CONTROLE NO SOLO,ANSIEDADE,1,754,290,0.133,0.345
PERDA DE CONTROLE NO SOLO,DESVIO DE NAVEGAÇÃO,1,754,290,0.133,0.345
PERDA DE CONTROLE NO SOLO,DOR,1,754,290,0.133,0.345
PERDA DE CONTROLE NO SOLO,FABRICAÇÃO,1,754,290,0.133,0.345
PERDA DE CONTROLE NO SOLO,FRASEOLOGIA DA TRIPULAÇÃO,1,754,290,0.133,0.345
PERDA DE CONTROLE NO SOLO,ILUSÕES VISUAIS,1,754,290,0.133,0.345
PERDA DE CONTROLE NO SOLO,INFLUÊNCIAS EXTERNAS,1,754,290,0.133,0.345
PERDA DE CONTROLE NO SOLO,PESSOAL DE APOIO,1,754,290,0.133,0.345
PERDA DE CONTROLE NO SOLO,PLANEJAMENTO DE TRÁFEGO (ATS),1,754,290,0.133,0.345
PERDA DE CONTROLE NO SOLO,PRESENÇA DE FAUNA (NÃO AVE),1,754,290,0.133,0.345
PERDA DE CONTROLE NO SOLO,PUBLICAÇÕES (ATS),1,754,290,0.133,0.345
